# Sweep #00050	3:42:31 PM 1/16/2018
# DAQ: PCI-6221; 16 bits; Timebase 80MHz; Max ADC 250kHz, ETS 20MHz
# Resolutions: Src ADC 0.0uV; Resp ADC 0.0uV
# Max ADC V: Src 0.0V; Resp 0.0V; Repeat 3; Settle 0.080sec
# Waveform Sampling: 25.0 cycles @ 7.5 samples/cycle; no preaveraging
# Signal Generator: Agilent Technologies 33220A Waveform Generator
# Generator:        	                    	                    	Input:              	                    	                    	                    	Response:           	                    	                    	                    
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
1000.000            	0.1500000           	0.000000            	0.1499245           	0.00001684239       	0.3545898           	0.002505281         	0.1505844           	0.00002778253       	0.1545669           	0.03469925          
1052.020            	0.1500000           	0.000000            	0.1499479           	0.00007786601       	0.3056340           	0.03672688          	0.1506874           	0.00007671434       	0.1366875           	0.03305828          
1106.747            	0.1500000           	0.000000            	0.1499197           	0.00001976660       	0.3177193           	0.01030563          	0.1506870           	0.00006791697       	0.06885076          	0.04021926          
1164.320            	0.1500000           	0.000000            	0.1499111           	0.00003974440       	0.3571155           	0.02728570          	0.1507913           	0.00008566685       	-0.09512503         	0.03162101          
1224.888            	0.1500000           	0.000000            	0.1499145           	0.00001249778       	0.2744696           	0.02982276          	0.1508547           	0.00001046786       	-0.02935420         	0.03326037          
1288.607            	0.1500000           	0.000000            	0.1499170           	0.00002657270       	0.1953293           	0.03555824          	0.1509677           	0.00004551341       	-0.1026891          	0.01012178          
1355.641            	0.1500000           	0.000000            	0.1498995           	0.00001437639       	0.2406721           	0.03707253          	0.1510902           	0.00003094591       	-0.07411392         	0.02014713          
1426.162            	0.1500000           	0.000000            	0.1499470           	0.000009337692      	0.2024419           	0.02204409          	0.1511532           	0.00001893039       	-0.02480228         	0.03179850          
1500.351            	0.1500000           	0.000000            	0.1499429           	0.00002299338       	0.1646855           	0.03989636          	0.1512877           	0.00004813157       	-0.1753365          	0.03697385          
1578.400            	0.1500000           	0.000000            	0.1499064           	0.000007914145      	0.1653431           	0.04423149          	0.1514648           	0.00003827349       	-0.1536333          	0.03014332          
1660.508            	0.1500000           	0.000000            	0.1499011           	0.0000009305617     	0.08827638          	0.03797253          	0.1516845           	0.00004184394       	-0.2739740          	0.02274093          
1746.888            	0.1500000           	0.000000            	0.1499492           	0.00001915884       	0.1121180           	0.0008761816        	0.1517938           	0.00007127252       	-0.2717178          	0.05344371          
1837.762            	0.1500000           	0.000000            	0.1498989           	0.00001448941       	0.07702695          	0.04523802          	0.1520385           	0.00005879089       	-0.3723093          	0.06497186          
1933.363            	0.1500000           	0.000000            	0.1498526           	0.00002735880       	0.03298970          	0.01228698          	0.1521647           	0.00006914078       	-0.3926579          	0.05723355          
2033.937            	0.1500000           	0.000000            	0.1499001           	0.00001167834       	0.006951836         	0.008894825         	0.1525110           	0.00002869066       	-0.4495116          	0.04654713          
2139.743            	0.1500000           	0.000000            	0.1498836           	0.00004941797       	-0.06173525         	0.06650911          	0.1528396           	0.0001006422        	-0.5257320          	0.06432759          
2251.053            	0.1500000           	0.000000            	0.1498948           	0.00001338722       	-0.1130227          	0.02641157          	0.1530889           	0.00001480835       	-0.5614942          	0.02300900          
2368.153            	0.1500000           	0.000000            	0.1498577           	0.00002192058       	-0.1021325          	0.04498262          	0.1532921           	0.00004685683       	-0.5336066          	0.02479559          
2491.345            	0.1500000           	0.000000            	0.1498982           	0.00001343637       	-0.1956516          	0.008170968         	0.1538077           	0.00004903719       	-0.6572427          	0.03969263          
2620.946            	0.1500000           	0.000000            	0.1498942           	0.00001914471       	-0.2444281          	0.02133444          	0.1541731           	0.00006098263       	-0.7599972          	0.02088054          
2757.288            	0.1500000           	0.000000            	0.1498626           	0.00001507865       	-0.2511858          	0.02715350          	0.1546352           	0.00003001575       	-0.7826703          	0.01906403          
2900.723            	0.1500000           	0.000000            	0.1499347           	0.000007732746      	-0.3210801          	0.02578672          	0.1552134           	0.00002529451       	-0.9556722          	0.04398458          
3051.619            	0.1500000           	0.000000            	0.1498878           	0.00003697373       	-0.3899205          	0.009126703         	0.1558296           	0.00002220906       	-1.018743           	0.02560099          
3210.365            	0.1500000           	0.000000            	0.1498573           	0.00001012762       	-0.4309439          	0.03185343          	0.1563798           	0.00006207994       	-1.169516           	0.04917627          
3377.369            	0.1500000           	0.000000            	0.1498477           	0.000007995699      	-0.4464538          	0.01287866          	0.1571658           	0.00001560214       	-1.151463           	0.07420920          
3553.061            	0.1500000           	0.000000            	0.1498629           	0.000009338127      	-0.5872375          	0.02763084          	0.1580249           	0.00002820469       	-1.362790           	0.05257721          
3737.892            	0.1500000           	0.000000            	0.1498429           	0.00003213724       	-0.6358828          	0.02791767          	0.1588700           	0.00003303076       	-1.348758           	0.06750400          
3932.338            	0.1500000           	0.000000            	0.1498272           	0.00001469835       	-0.6830532          	0.007386838         	0.1599342           	0.00004197225       	-1.536692           	0.07884291          
4136.900            	0.1500000           	0.000000            	0.1498302           	0.00001045951       	-0.7887524          	0.03149647          	0.1610896           	0.00002659165       	-1.617737           	0.01996591          
4352.102            	0.1500000           	0.000000            	0.1498400           	0.00001799477       	-0.9315556          	0.03068635          	0.1624603           	0.00003886604       	-1.745906           	0.05974904          
4578.500            	0.1500000           	0.000000            	0.1498203           	0.00002619920       	-0.9205795          	0.05792722          	0.1637795           	0.00006675852       	-1.972036           	0.06706392          
4816.675            	0.1500000           	0.000000            	0.1498398           	0.0000008144178     	-1.042530           	0.01728419          	0.1655085           	0.00001678511       	-2.024416           	0.04180924          
5067.239            	0.1500000           	0.000000            	0.1497971           	0.000005282742      	-1.136342           	0.02139940          	0.1673700           	0.00004458083       	-2.213180           	0.05405640          
5330.839            	0.1500000           	0.000000            	0.1497592           	0.00001088221       	-1.210446           	0.02677870          	0.1695780           	0.00005725985       	-2.534246           	0.06851291          
