S Channel 2;   4:36:33 PM 1/16/2018
S DAQ: PCI-6221; 16 bits; Max ADC Rate 250kHz, Max ETS 20MHz
S Sampling: Eff. Rate 250kHz;  ADC Rate 250kHz; Frames 1; Samples 2500
S Trigger Delays: Ch1 0.0000S, Ch2 0.0000S; Sweeps averaged: 11
S Voltage Offsets: Ch1 0.000V, Ch2 0.000V
S Voltage Resolution: Ch1 6.4uV, Ch2 6.4uV
S Time (ms)         	Amplitude (V)       	sig Amplitude (V)   
0.000000            	0.004588258         	0.0000594           
0.004000            	0.01397810          	0.0000349           
0.008000            	0.03963282          	0.0000375           
0.012000            	0.06276382          	0.0000439           
0.016000            	0.07713690          	0.0000404           
0.020000            	0.08039834          	0.0000545           
0.024000            	0.07230781          	0.0000382           
0.028000            	0.05396540          	0.0000601           
0.032000            	0.02821732          	0.0000983           
0.036000            	-0.001113597        	0.0000541           
0.040000            	-0.02932978         	0.0000384           
0.044000            	-0.05241796         	0.0000216           
0.048000            	-0.06677424         	0.0000794           
0.052000            	-0.07040116         	0.0000329           
0.056000            	-0.06261604         	0.0000472           
0.060000            	-0.04476005         	0.0000655           
0.064000            	-0.01941212         	0.0000533           
0.068000            	0.009400721         	0.0000383           
0.072000            	0.03743521          	0.0000462           
0.076000            	0.06049200          	0.0000410           
0.080000            	0.07505282          	0.0000653           
0.084000            	0.07899077          	0.0000865           
0.088000            	0.07159967          	0.0000838           
0.092000            	0.05411137          	0.0000789           
0.096000            	0.02926059          	0.0000452           
0.100000            	0.0007221594        	0.0000328           
0.104000            	-0.02707144         	0.0000210           
0.108000            	-0.05009456         	0.0000603           
0.112000            	-0.06475418         	0.0000352           
0.116000            	-0.06885275         	0.0000487           
0.120000            	-0.06194023         	0.000119            
0.124000            	-0.04490044         	0.0000843           
0.128000            	-0.02044914         	0.0000430           
0.132000            	0.007732731         	0.0000278           
0.136000            	0.03529616          	0.0000590           
0.140000            	0.05824146          	0.0000530           
0.144000            	0.07301950          	0.0000596           
0.148000            	0.07749787          	0.0000686           
0.152000            	0.07084983          	0.0000317           
0.156000            	0.05428120          	0.0000435           
0.160000            	0.03020316          	0.0000672           
0.164000            	0.002482176         	0.0000288           
0.168000            	-0.02499376         	0.0000264           
0.172000            	-0.04782428         	0.0000630           
0.176000            	-0.06266390         	0.0000359           
0.180000            	-0.06725906         	0.0000515           
0.184000            	-0.06099731         	0.0000373           
0.188000            	-0.04486119         	0.0000563           
0.192000            	-0.02128991         	0.0000220           
0.196000            	0.006226120         	0.0000369           
0.200000            	0.03338634          	0.0000781           
0.204000            	0.05618503          	0.0000564           
0.208000            	0.07118297          	0.0000885           
0.212000            	0.07607283          	0.0000452           
0.216000            	0.07019671          	0.0000441           
0.220000            	0.05448692          	0.0000677           
0.224000            	0.03126080          	0.0000294           
0.228000            	0.004233785         	0.0000440           
0.232000            	-0.02283950         	0.0000265           
0.236000            	-0.04547007         	0.0000821           
0.240000            	-0.06051950         	0.0000597           
0.244000            	-0.06571147         	0.0000625           
0.248000            	-0.06020954         	0.0000663           
0.252000            	-0.04488108         	0.0000480           
0.256000            	-0.02207206         	0.0000475           
0.260000            	0.004635213         	0.0000496           
0.264000            	0.03150719          	0.0000230           
0.268000            	0.05394115          	0.0000466           
0.272000            	0.06920473          	0.0000613           
0.276000            	0.07451230          	0.0000698           
0.280000            	0.06935016          	0.0000653           
0.284000            	0.05449279          	0.0000516           
0.288000            	0.03214840          	0.0000433           
0.292000            	0.005692347         	0.0000403           
0.296000            	-0.02086020         	0.0000627           
0.300000            	-0.04339113         	0.0000499           
0.304000            	-0.05863733         	0.0000487           
0.308000            	-0.06421596         	0.0000894           
0.312000            	-0.05938701         	0.0000583           
0.316000            	-0.04483401         	0.0000754           
0.320000            	-0.02296599         	0.0000381           
0.324000            	0.003181091         	0.0000362           
0.328000            	0.02939098          	0.0000480           
0.332000            	0.05187779          	0.0000421           
0.336000            	0.06716005          	0.0000616           
0.340000            	0.07302940          	0.0000260           
0.344000            	0.06851120          	0.0000442           
0.348000            	0.05443233          	0.0000415           
0.352000            	0.03283957          	0.0000549           
0.356000            	0.007066436         	0.0000467           
0.360000            	-0.01882160         	0.0000947           
0.364000            	-0.04128960         	0.0000377           
0.368000            	-0.05663884         	0.0000548           
0.372000            	-0.06267327         	0.0000684           
0.376000            	-0.05847231         	0.000101            
0.380000            	-0.04485584         	0.0000718           
0.384000            	-0.02366709         	0.0000836           
0.388000            	0.001693482         	0.0000355           
0.392000            	0.02754588          	0.0000475           
0.396000            	0.04989665          	0.0000441           
0.400000            	0.06520148          	0.0000413           
0.404000            	0.07149313          	0.0000911           
0.408000            	0.06765322          	0.0000778           
0.412000            	0.05438989          	0.0000854           
0.416000            	0.03366129          	0.0000310           
0.420000            	0.008559201         	0.0000845           
0.424000            	-0.01703590         	0.0000522           
0.428000            	-0.03928959         	0.0000462           
0.432000            	-0.05470997         	0.0000329           
0.436000            	-0.06114924         	0.0000504           
0.440000            	-0.05766796         	0.0000829           
0.444000            	-0.04479358         	0.0000408           
0.448000            	-0.02434336         	0.0000604           
0.452000            	0.0003369880        	0.0000421           
0.456000            	0.02570106          	0.0000370           
0.460000            	0.04784961          	0.0000440           
0.464000            	0.06337822          	0.0000449           
0.468000            	0.06997760          	0.0000807           
0.472000            	0.06677882          	0.0000765           
0.476000            	0.05426883          	0.0000854           
0.480000            	0.03416466          	0.0000457           
0.484000            	0.009970628         	0.0000542           
0.488000            	-0.01531407         	0.0000588           
0.492000            	-0.03731874         	0.0000804           
0.496000            	-0.05285716         	0.0000363           
0.500000            	-0.05963727         	0.0000748           
0.504000            	-0.05685373         	0.0000721           
0.508000            	-0.04457040         	0.0000818           
0.512000            	-0.02499129         	0.0000378           
0.516000            	-0.0008399308       	0.0000880           
0.520000            	0.02397804          	0.0000349           
0.524000            	0.04578597          	0.0000660           
0.528000            	0.06149174          	0.0000410           
0.532000            	0.06848743          	0.0000668           
0.536000            	0.06595716          	0.0000728           
0.540000            	0.05411390          	0.0000328           
0.544000            	0.03488039          	0.0000412           
0.548000            	0.01107833          	0.0000688           
0.552000            	-0.01349487         	0.0000522           
0.556000            	-0.03538358         	0.0000332           
0.560000            	-0.05095014         	0.0000663           
0.564000            	-0.05811968         	0.0000918           
0.568000            	-0.05595436         	0.0000561           
0.572000            	-0.04444882         	0.0000535           
0.576000            	-0.02554012         	0.0000403           
0.580000            	-0.002208293        	0.0000570           
0.584000            	0.02221311          	0.0000231           
0.588000            	0.04385564          	0.0000718           
0.592000            	0.05960975          	0.0000432           
0.596000            	0.06699341          	0.0000563           
0.600000            	0.06502150          	0.0000514           
0.604000            	0.05379536          	0.0000716           
0.608000            	0.03543261          	0.0000686           
0.612000            	0.01234975          	0.0000848           
0.616000            	-0.01185138         	0.0000502           
0.620000            	-0.03340989         	0.0000478           
0.624000            	-0.04910313         	0.0000465           
0.628000            	-0.05672525         	0.0000567           
0.632000            	-0.05496188         	0.0000984           
0.636000            	-0.04424397         	0.0000327           
0.640000            	-0.02603976         	0.0000652           
0.644000            	-0.003353868        	0.0000529           
0.648000            	0.02056028          	0.0000553           
0.652000            	0.04199562          	0.0000339           
0.656000            	0.05782369          	0.0000490           
0.660000            	0.06560913          	0.0000783           
0.664000            	0.06407725          	0.0000610           
0.668000            	0.05364814          	0.0000528           
0.672000            	0.03589465          	0.0000607           
0.676000            	0.01348051          	0.0000497           
0.680000            	-0.01017551         	0.0000542           
0.684000            	-0.03155717         	0.0000459           
0.688000            	-0.04729466         	0.0000673           
0.692000            	-0.05524079         	0.0000292           
0.696000            	-0.05403442         	0.0000815           
