S Channel 2;   4:29:28 PM 1/16/2018
S DAQ: PCI-6221; 16 bits; Max ADC Rate 250kHz, Max ETS 20MHz
S Sampling: Eff. Rate 1.25MHz;  ADC Rate 250kHz; Frames 5; Samples 2500
S Trigger Delays: Ch1 0.0000S, Ch2 0.0000S; Sweeps averaged: 11
S Voltage Offsets: Ch1 0.000V, Ch2 0.000V
S Voltage Resolution: Ch1 6.4uV, Ch2 6.4uV
S Time (ms)         	Amplitude (V)       	sig Amplitude (V)   
0.000000            	0.004593258         	0.0000264           
0.000800            	0.005648995         	0.0000752           
0.001600            	0.006262700         	0.0000673           
0.002400            	0.007819281         	0.0000479           
0.003200            	0.01056697          	0.0000351           
0.004000            	0.01416570          	0.0000654           
0.004800            	0.01863809          	0.0000496           
0.005600            	0.02310073          	0.0000238           
0.006400            	0.02858868          	0.0000284           
0.007200            	0.03427770          	0.0000825           
0.008000            	0.03957535          	0.0000539           
0.008800            	0.04458711          	0.0000418           
0.009600            	0.04948224          	0.0000186           
0.010400            	0.05384034          	0.0000516           
0.011200            	0.05808430          	0.0000276           
0.012000            	0.06197993          	0.0000241           
0.012800            	0.06548926          	0.0000515           
0.013600            	0.06850915          	0.0000751           
0.014400            	0.07123318          	0.0000660           
0.015200            	0.07341598          	0.0000176           
0.016000            	0.07526731          	0.0000297           
0.016800            	0.07671514          	0.0000479           
0.017600            	0.07766912          	0.0000273           
0.018400            	0.07815779          	0.0000623           
0.019200            	0.07816134          	0.0000354           
0.020000            	0.07775455          	0.0000256           
0.020800            	0.07692687          	0.0000704           
0.021600            	0.07566868          	0.0000217           
0.022400            	0.07386101          	0.0000441           
0.023200            	0.07174899          	0.0000385           
0.024000            	0.06922358          	0.0000639           
0.024800            	0.06637646          	0.0000218           
0.025600            	0.06305359          	0.0000552           
0.026400            	0.05937578          	0.0000514           
0.027200            	0.05538011          	0.0000735           
0.028000            	0.05112625          	0.0000381           
0.028800            	0.04674516          	0.0000295           
0.029600            	0.04202305          	0.0000514           
0.030400            	0.03693173          	0.0000526           
